"序号","操作类型","操作日期","题名","索取号","条码号"
"1","流通借出","2012.09.24","发现智慧珍藏本","I247.57/5426","'A0976464"
"2","流通借出","2012.09.24","呼啸山庄: [英文本]","I561.44/296","'A0907903"
"3","流通借出","2012.09.24","狼嚎","I247.57/2418","'A0554712"
"4","流通还回","2012.10.09","呼啸山庄: [英文本]","I561.44/296","'A0907903"
"5","流通还回","2012.10.09","狼嚎","I247.57/2418","'A0554712"
"6","流通借出","2012.10.09","巴尔扎克讽刺小说集","I565.44/86","'A0160033"
"7","流通借出","2012.10.09","呼啸山庄","I561.44/41","'A0048129"
"8","流通借出","2012.10.09","红与黑","I565.44/463","'A0706262"
"9","流通借出","2012.10.24","伏尔泰中短篇小说集","I565.44/433","'A0654615"
"10","流通还回","2012.11.05","红与黑","I565.44/463","'A0706262"
"11","流通借出","2012.11.05","基督山伯爵","I565.44/367","'A0499380"
"12","流通借出","2012.11.05","基督山伯爵","I565.44/367","'A0499381"
"13","流通还回","2012.11.05","巴尔扎克讽刺小说集","I565.44/86","'A0160033"
"14","流通还回","2012.11.05","呼啸山庄","I561.44/41","'A0048129"
"15","流通借出","2012.11.07","厚黑学","B825/614","'A1184231"
"16","流通借出","2012.11.07","他是如何说服听众的. 2: 乔布斯演讲会","H019/616","'A1188381"
"17","流通借出","2012.11.07","他是如何说服听众的. 1: 乔布斯演讲会","H019/616","'A1216792"
"18","流通借出","2012.11.22","赢在幽默: 幽默的人生・成功的人生","B842.6/173","'A0999773"
"19","流通还回","2012.11.22","厚黑学","B825/614","'A1184231"
"20","流通还回","2012.11.22","他是如何说服听众的. 1: 乔布斯演讲会","H019/616","'A1216792"
"21","流通还回","2012.11.22","他是如何说服听众的. 2: 乔布斯演讲会","H019/616","'A1188381"
"22","流通还回","2012.11.26","基督山伯爵","I565.44/367","'A0499380"
"23","流通还回","2012.11.26","发现智慧珍藏本","I247.57/5426","'A0976464"
"24","流通还回","2012.11.26","伏尔泰中短篇小说集","I565.44/433","'A0654615"
"25","流通借出","2012.12.03","莎士比亚全集. 第七卷. 悲剧","I561.33/21","'A0521460"
"26","流通借出","2012.12.03","三个火枪手","I565.44/398","'A0634942"
"27","流通借出","2012.12.03","红与黑","I565.44/391","'A0626058"
"28","流通还回","2012.12.05","基督山伯爵","I565.44/367","'A0499381"
"29","流通借出","2012.12.06","Access及其应用系统开发","TP311.138AC/20","'A0695176"
"30","流通还回","2012.12.10","三个火枪手","I565.44/398","'A0634942"
"31","流通还回","2012.12.25","莎士比亚全集. 第七卷. 悲剧","I561.33/21","'A0521460"
"32","流通还回","2012.12.25","红与黑","I565.44/391","'A0626058"
"33","流通还回","2012.12.27","Access及其应用系统开发","TP311.138AC/20","'A0695176"
"34","流通还回","2012.12.27","赢在幽默: 幽默的人生・成功的人生","B842.6/173","'A0999773"
"35","流通借出","2013.03.07","会声会影X2完全自学教程","TP391.41/1261","'A1168848"
"36","流通还回","2013.04.25","会声会影X2完全自学教程","TP391.41/1261","'A1168848"
"37","流通借出","2014.02.26","地铁2034","I512.455/2","'A1275011"
"38","流通还回","2014.03.19","地铁2034","I512.455/2","'A1275011"
"39","流通借出","2014.04.23","堕落天使. 3. 烈爱","I712.45/1700","'A1223641"
"40","流通借出","2014.04.23","达・芬奇密码: 插图珍藏本","I712.45/1169","'A0691133"
"41","流通借出","2014.04.23","堕落天使. 4. 欣狂","I712.45/1700","'A1321366"
"42","流通还回","2014.04.30","堕落天使. 4. 欣狂","I712.45/1700","'A1321366"
"43","流通还回","2014.04.30","堕落天使. 3. 烈爱","I712.45/1700","'A1223641"
"44","流通还回","2014.04.30","达・芬奇密码: 插图珍藏本","I712.45/1169","'A0691133"
